subjid	 runtrial	 onsettime	 ImageLeft	 ImageRight	 StimNumLeft	 StimNumRight	 Response	 Outcome	 RT
BMI_bf_105	 221	 7.705262e+02	 020.tif	 116.tif	 20	 46	 i	 0	 6.904654e+02
BMI_bf_105	 222	 7.740262e+02	 108.tif	 007.tif	 38	 7	 u	 0	 7.342892e+02
BMI_bf_105	 223	 7.775260e+02	 009.tif	 011.tif	 9	 11	 i	 0	 1.082212e+03
BMI_bf_105	 224	 7.810260e+02	 007.tif	 112.tif	 7	 42	 i	 0	 9.580505e+02
BMI_bf_105	 225	 7.845258e+02	 015.tif	 010.tif	 15	 10	 u	 0	 7.619885e+02
BMI_bf_105	 226	 7.880258e+02	 104.tif	 109.tif	 34	 39	 i	 0	 7.097986e+02
BMI_bf_105	 227	 7.915256e+02	 125.tif	 130.tif	 55	 60	 u	 0	 9.857462e+02
BMI_bf_105	 228	 7.950255e+02	 001.tif	 009.tif	 1	 9	 u	 0	 7.655383e+02
BMI_bf_105	 229	 7.985254e+02	 111.tif	 003.tif	 41	 3	 u	 0	 1.217473e+03
BMI_bf_105	 230	 8.020253e+02	 109.tif	 129.tif	 39	 59	 i	 0	 8.052897e+02
BMI_bf_105	 231	 8.055252e+02	 007.tif	 018.tif	 7	 18	 i	 0	 1.425199e+03
BMI_bf_105	 232	 8.090251e+02	 121.tif	 007.tif	 51	 7	 i	 0	 1.573004e+03
BMI_bf_105	 233	 8.125249e+02	 013.tif	 007.tif	 13	 7	 x	 999	 999000
BMI_bf_105	 234	 8.160249e+02	 023.tif	 027.tif	 23	 27	 u	 0	 1.268788e+03
BMI_bf_105	 235	 8.195247e+02	 111.tif	 015.tif	 41	 15	 u	 0	 1.216729e+03
BMI_bf_105	 236	 8.230247e+02	 027.tif	 004.tif	 27	 4	 i	 0	 7.005655e+02
BMI_bf_105	 237	 8.265245e+02	 001.tif	 012.tif	 1	 12	 i	 0	 1.064496e+03
BMI_bf_105	 238	 8.300245e+02	 105.tif	 115.tif	 35	 45	 i	 0	 1.292289e+03
BMI_bf_105	 239	 8.335243e+02	 123.tif	 112.tif	 53	 42	 u	 0	 1.088248e+03
BMI_bf_105	 240	 8.370243e+02	 010.tif	 106.tif	 10	 36	 i	 0	 5.961053e+02
BMI_bf_105	 241	 8.405241e+02	 023.tif	 119.tif	 23	 49	 u	 0	 7.920284e+02
BMI_bf_105	 242	 8.440241e+02	 011.tif	 127.tif	 11	 57	 i	 0	 6.118500e+02
BMI_bf_105	 243	 8.475239e+02	 030.tif	 027.tif	 30	 27	 i	 0	 1.039761e+03
BMI_bf_105	 244	 8.510238e+02	 117.tif	 020.tif	 47	 20	 i	 0	 6.675943e+02
BMI_bf_105	 245	 8.545237e+02	 112.tif	 030.tif	 42	 30	 u	 0	 8.395447e+02
BMI_bf_105	 246	 8.580236e+02	 115.tif	 018.tif	 45	 18	 i	 0	 9.713360e+02
BMI_bf_105	 247	 8.615235e+02	 019.tif	 116.tif	 19	 46	 i	 0	 1.575237e+03
BMI_bf_105	 248	 8.650234e+02	 129.tif	 118.tif	 59	 48	 u	 0	 1.315069e+03
BMI_bf_105	 249	 8.685233e+02	 120.tif	 013.tif	 50	 13	 i	 0	 1.398953e+03
BMI_bf_105	 250	 8.720232e+02	 018.tif	 016.tif	 18	 16	 u	 0	 8.428573e+02
BMI_bf_105	 251	 8.755230e+02	 023.tif	 003.tif	 23	 3	 u	 0	 9.267947e+02
BMI_bf_105	 252	 8.790230e+02	 030.tif	 116.tif	 30	 46	 i	 0	 6.586238e+02
BMI_bf_105	 253	 8.825228e+02	 109.tif	 010.tif	 39	 10	 u	 0	 1.150543e+03
BMI_bf_105	 254	 8.860228e+02	 111.tif	 023.tif	 41	 23	 i	 0	 6.423919e+02
BMI_bf_105	 255	 8.895226e+02	 013.tif	 106.tif	 13	 36	 i	 0	 7.903178e+02
BMI_bf_105	 256	 8.930226e+02	 004.tif	 018.tif	 4	 18	 i	 0	 1.058111e+03
BMI_bf_105	 257	 8.965224e+02	 001.tif	 003.tif	 1	 3	 u	 0	 9.340561e+02
BMI_bf_105	 258	 9.000224e+02	 001.tif	 004.tif	 1	 4	 u	 0	 7.858784e+02
BMI_bf_105	 259	 9.035222e+02	 109.tif	 113.tif	 39	 43	 u	 0	 9.497911e+02
BMI_bf_105	 260	 9.070221e+02	 101.tif	 126.tif	 31	 56	 i	 0	 7.936312e+02
BMI_bf_105	 261	 9.105220e+02	 004.tif	 011.tif	 4	 11	 i	 0	 6.055841e+02
BMI_bf_105	 262	 9.140219e+02	 019.tif	 104.tif	 19	 34	 i	 0	 9.853779e+02
BMI_bf_105	 263	 9.175217e+02	 104.tif	 101.tif	 34	 31	 i	 0	 9.813291e+02
BMI_bf_105	 264	 9.210217e+02	 011.tif	 122.tif	 11	 52	 u	 0	 1.169131e+03
BMI_bf_105	 265	 9.245216e+02	 122.tif	 115.tif	 52	 45	 u	 0	 1.837005e+03
BMI_bf_105	 266	 9.280215e+02	 011.tif	 105.tif	 11	 35	 u	 0	 8.089014e+02
BMI_bf_105	 267	 9.315213e+02	 019.tif	 115.tif	 19	 45	 i	 0	 8.848304e+02
BMI_bf_105	 268	 9.350213e+02	 105.tif	 014.tif	 35	 14	 i	 0	 9.926375e+02
BMI_bf_105	 269	 9.385211e+02	 024.tif	 102.tif	 24	 32	 i	 0	 6.446241e+02
BMI_bf_105	 270	 9.420211e+02	 128.tif	 117.tif	 58	 47	 u	 0	 1.960343e+03
BMI_bf_105	 271	 9.455209e+02	 117.tif	 101.tif	 47	 31	 u	 0	 1.460298e+03
BMI_bf_105	 272	 9.490209e+02	 113.tif	 128.tif	 43	 58	 i	 0	 6.721749e+02
BMI_bf_105	 273	 9.525207e+02	 117.tif	 104.tif	 47	 34	 x	 999	 999000
BMI_bf_105	 274	 9.560207e+02	 107.tif	 030.tif	 37	 30	 i	 0	 -3.678165e+02
BMI_bf_105	 275	 9.595205e+02	 122.tif	 107.tif	 52	 37	 u	 0	 1.275865e+03
BMI_bf_105	 276	 9.630204e+02	 128.tif	 019.tif	 58	 19	 u	 0	 9.675860e+02
BMI_bf_105	 277	 9.665203e+02	 127.tif	 120.tif	 57	 50	 u	 0	 1.051612e+03
BMI_bf_105	 278	 9.700202e+02	 115.tif	 128.tif	 45	 58	 i	 0	 6.234397e+02
BMI_bf_105	 279	 9.735200e+02	 115.tif	 110.tif	 45	 40	 i	 0	 1.771316e+03
BMI_bf_105	 280	 9.770200e+02	 002.tif	 120.tif	 2	 50	 u	 0	 1.311113e+03
BMI_bf_105	 281	 9.805198e+02	 016.tif	 128.tif	 16	 58	 i	 0	 8.511229e+02
BMI_bf_105	 282	 9.840198e+02	 019.tif	 011.tif	 19	 11	 i	 0	 5.989497e+02
BMI_bf_105	 283	 9.875196e+02	 002.tif	 101.tif	 2	 31	 u	 0	 7.228888e+02
BMI_bf_105	 284	 9.910196e+02	 110.tif	 105.tif	 40	 35	 u	 0	 7.026975e+02
BMI_bf_105	 285	 9.945194e+02	 024.tif	 113.tif	 24	 43	 i	 0	 1.170636e+03
BMI_bf_105	 286	 9.980194e+02	 113.tif	 019.tif	 43	 19	 u	 0	 9.024411e+02
BMI_bf_105	 287	 1.001519e+03	 113.tif	 108.tif	 43	 38	 u	 0	 1.074378e+03
BMI_bf_105	 288	 1.005019e+03	 105.tif	 016.tif	 35	 16	 i	 0	 1.102190e+03
BMI_bf_105	 289	 1.008519e+03	 115.tif	 104.tif	 45	 34	 u	 0	 1.002136e+03
BMI_bf_105	 290	 1.012019e+03	 102.tif	 107.tif	 32	 37	 u	 0	 1.301936e+03
