subjid	 runtrial	 onsettime	 ImageLeft	 ImageRight	 StimNumLeft	 StimNumRight	 Response	 Outcome	 RT
BMI_bf_134	 197	 6.865231e+02	 114.tif	 130.tif	 44	 60	 i	 0	 2.142248e+03
BMI_bf_134	 198	 6.900230e+02	 001.tif	 107.tif	 1	 37	 u	 0	 1.666150e+03
BMI_bf_134	 199	 6.935230e+02	 001.tif	 123.tif	 1	 53	 i	 0	 2.381986e+03
BMI_bf_134	 200	 6.970229e+02	 022.tif	 121.tif	 22	 51	 i	 0	 1.545846e+03
BMI_bf_134	 201	 7.005228e+02	 012.tif	 027.tif	 12	 27	 u	 0	 2.149702e+03
BMI_bf_134	 202	 7.040228e+02	 022.tif	 026.tif	 22	 26	 u	 0	 1.273636e+03
BMI_bf_134	 203	 7.075227e+02	 106.tif	 025.tif	 36	 25	 u	 0	 2.077504e+03
BMI_bf_134	 204	 7.110227e+02	 110.tif	 126.tif	 40	 56	 i	 0	 1.889392e+03
BMI_bf_134	 205	 7.145227e+02	 019.tif	 025.tif	 19	 25	 i	 0	 1.869249e+03
BMI_bf_134	 206	 7.180226e+02	 104.tif	 103.tif	 34	 33	 u	 0	 1.817140e+03
BMI_bf_134	 207	 7.215225e+02	 115.tif	 015.tif	 45	 15	 u	 0	 1.237029e+03
BMI_bf_134	 208	 7.250226e+02	 126.tif	 101.tif	 56	 31	 u	 0	 1.584733e+03
BMI_bf_134	 209	 7.285224e+02	 122.tif	 014.tif	 52	 14	 i	 0	 1.884759e+03
BMI_bf_134	 210	 7.320224e+02	 019.tif	 115.tif	 19	 45	 i	 0	 1.040676e+03
BMI_bf_134	 211	 7.355223e+02	 124.tif	 014.tif	 54	 14	 u	 0	 2.092490e+03
BMI_bf_134	 212	 7.390223e+02	 021.tif	 102.tif	 21	 32	 i	 0	 1.832369e+03
BMI_bf_134	 213	 7.425222e+02	 120.tif	 126.tif	 50	 56	 i	 0	 1.020290e+03
BMI_bf_134	 214	 7.460222e+02	 011.tif	 106.tif	 11	 36	 i	 0	 1.040150e+03
BMI_bf_134	 215	 7.495221e+02	 013.tif	 105.tif	 13	 35	 u	 0	 9.959747e+02
BMI_bf_134	 216	 7.530221e+02	 014.tif	 030.tif	 14	 30	 u	 0	 1.183893e+03
BMI_bf_134	 217	 7.565220e+02	 015.tif	 126.tif	 15	 56	 i	 0	 9.557464e+02
BMI_bf_134	 218	 7.600220e+02	 113.tif	 022.tif	 43	 22	 u	 0	 2.071574e+03
BMI_bf_134	 219	 7.635219e+02	 030.tif	 028.tif	 30	 28	 u	 0	 2.371468e+03
BMI_bf_134	 220	 7.670219e+02	 119.tif	 121.tif	 49	 51	 i	 0	 1.567376e+03
BMI_bf_134	 221	 7.705218e+02	 130.tif	 007.tif	 60	 7	 u	 0	 1.235265e+03
BMI_bf_134	 222	 7.740218e+02	 009.tif	 006.tif	 9	 6	 u	 0	 1.031168e+03
BMI_bf_134	 223	 7.775217e+02	 102.tif	 101.tif	 32	 31	 u	 0	 1.346997e+03
BMI_bf_134	 224	 7.810217e+02	 006.tif	 120.tif	 6	 50	 u	 0	 1.798872e+03
BMI_bf_134	 225	 7.845216e+02	 118.tif	 019.tif	 48	 19	 i	 0	 9.307963e+02
BMI_bf_134	 226	 7.880216e+02	 116.tif	 109.tif	 46	 39	 i	 0	 1.286646e+03
BMI_bf_134	 227	 7.915215e+02	 118.tif	 126.tif	 48	 56	 i	 0	 1.122508e+03
BMI_bf_134	 228	 7.950215e+02	 108.tif	 125.tif	 38	 55	 u	 0	 1.126412e+03
BMI_bf_134	 229	 7.985213e+02	 006.tif	 123.tif	 6	 53	 i	 0	 8.423759e+02
BMI_bf_134	 230	 8.020214e+02	 004.tif	 114.tif	 4	 44	 i	 0	 1.558132e+03
BMI_bf_134	 231	 8.055213e+02	 012.tif	 015.tif	 12	 15	 u	 0	 1.617982e+03
BMI_bf_134	 232	 8.090212e+02	 025.tif	 103.tif	 25	 33	 i	 0	 1.389967e+03
BMI_bf_134	 233	 8.125212e+02	 117.tif	 112.tif	 47	 42	 u	 0	 1.225755e+03
BMI_bf_134	 234	 8.160212e+02	 005.tif	 101.tif	 5	 31	 u	 0	 2.429522e+03
BMI_bf_134	 235	 8.195211e+02	 122.tif	 030.tif	 52	 30	 i	 0	 1.313445e+03
BMI_bf_134	 236	 8.230211e+02	 105.tif	 004.tif	 35	 4	 i	 0	 1.917350e+03
BMI_bf_134	 237	 8.265210e+02	 003.tif	 108.tif	 3	 38	 i	 0	 2.057236e+03
BMI_bf_134	 238	 8.300210e+02	 027.tif	 127.tif	 27	 57	 i	 0	 1.205129e+03
BMI_bf_134	 239	 8.335209e+02	 125.tif	 101.tif	 55	 31	 i	 0	 1.472999e+03
BMI_bf_134	 240	 8.370208e+02	 130.tif	 125.tif	 60	 55	 u	 0	 1.012903e+03
BMI_bf_134	 241	 8.405208e+02	 118.tif	 120.tif	 48	 50	 u	 0	 1.648749e+03
BMI_bf_134	 242	 8.440207e+02	 025.tif	 123.tif	 25	 53	 i	 0	 1.484576e+03
BMI_bf_134	 243	 8.475207e+02	 112.tif	 012.tif	 42	 12	 i	 0	 1.696435e+03
BMI_bf_134	 244	 8.510206e+02	 129.tif	 111.tif	 59	 41	 i	 0	 1.124396e+03
BMI_bf_134	 245	 8.545206e+02	 129.tif	 025.tif	 59	 25	 i	 0	 1.592244e+03
BMI_bf_134	 246	 8.580205e+02	 011.tif	 021.tif	 11	 21	 u	 0	 1.484113e+03
BMI_bf_134	 247	 8.615205e+02	 026.tif	 104.tif	 26	 34	 i	 0	 1.007995e+03
BMI_bf_134	 248	 8.650204e+02	 013.tif	 019.tif	 13	 19	 u	 0	 7.398902e+02
BMI_bf_134	 249	 8.685204e+02	 111.tif	 118.tif	 41	 48	 u	 0	 7.997254e+02
BMI_bf_134	 250	 8.720203e+02	 112.tif	 120.tif	 42	 50	 i	 0	 2.115548e+03
BMI_bf_134	 251	 8.755203e+02	 003.tif	 114.tif	 3	 44	 i	 0	 1.183498e+03
BMI_bf_134	 252	 8.790202e+02	 027.tif	 102.tif	 27	 32	 i	 0	 8.593911e+02
BMI_bf_134	 253	 8.825202e+02	 015.tif	 019.tif	 15	 19	 i	 0	 1.255253e+03
BMI_bf_134	 254	 8.860201e+02	 125.tif	 024.tif	 55	 24	 i	 0	 1.555079e+03
BMI_bf_134	 255	 8.895201e+02	 121.tif	 021.tif	 51	 21	 u	 0	 8.709930e+02
BMI_bf_134	 256	 8.930200e+02	 126.tif	 127.tif	 56	 57	 i	 0	 1.146861e+03
BMI_bf_134	 257	 8.965200e+02	 012.tif	 024.tif	 12	 24	 u	 0	 1.982659e+03
BMI_bf_134	 258	 9.000200e+02	 102.tif	 115.tif	 32	 45	 u	 0	 1.154590e+03
BMI_bf_134	 259	 9.035199e+02	 011.tif	 115.tif	 11	 45	 u	 0	 1.238518e+03
BMI_bf_134	 260	 9.070198e+02	 104.tif	 101.tif	 34	 31	 u	 0	 1.170376e+03
BMI_bf_134	 261	 9.105198e+02	 105.tif	 116.tif	 35	 46	 i	 0	 8.142813e+02
BMI_bf_134	 262	 9.140197e+02	 117.tif	 003.tif	 47	 3	 i	 0	 1.858088e+03
BMI_bf_134	 263	 9.175197e+02	 012.tif	 020.tif	 12	 20	 i	 0	 9.340123e+02
BMI_bf_134	 264	 9.210196e+02	 113.tif	 121.tif	 43	 51	 i	 0	 8.658828e+02
BMI_bf_134	 265	 9.245196e+02	 007.tif	 107.tif	 7	 37	 i	 0	 1.781720e+03
BMI_bf_134	 266	 9.280195e+02	 025.tif	 026.tif	 25	 26	 u	 0	 9.376370e+02
BMI_bf_134	 267	 9.315195e+02	 105.tif	 012.tif	 35	 12	 i	 0	 2.381433e+03
BMI_bf_134	 268	 9.350194e+02	 117.tif	 024.tif	 47	 24	 u	 0	 2.065319e+03
BMI_bf_134	 269	 9.385194e+02	 024.tif	 122.tif	 24	 52	 i	 0	 9.412481e+02
BMI_bf_134	 270	 9.420193e+02	 007.tif	 028.tif	 7	 28	 i	 0	 1.625093e+03
BMI_bf_134	 271	 9.455192e+02	 107.tif	 027.tif	 37	 27	 u	 0	 1.804971e+03
