subjid runtrial onsettime ImageLeft ImageRight StimNumLeft StimNumRight Response Outcome RT 
Yael 222 7.740332e+02 030.tif 123.tif 30 53 u 0 7.903827e+02
Yael 223 7.775333e+02 111.tif 102.tif 41 32 u 0 6.421521e+02
Yael 224 7.810331e+02 108.tif 110.tif 38 40 u 0 1.006082e+03
Yael 225 7.845331e+02 009.tif 110.tif 9 40 i 0 7.539456e+02
Yael 226 7.880330e+02 028.tif 013.tif 28 13 u 0 9.578285e+02
Yael 227 7.915330e+02 111.tif 106.tif 41 36 u 0 6.096606e+02
Yael 228 7.950328e+02 127.tif 002.tif 57 2 u 0 5.656019e+02
Yael 229 7.985328e+02 129.tif 018.tif 59 18 u 0 5.693938e+02
Yael 230 8.020327e+02 018.tif 124.tif 18 54 i 0 7.333922e+02
Yael 231 8.055326e+02 101.tif 001.tif 31 1 u 0 1.121186e+03
Yael 232 8.090325e+02 114.tif 016.tif 44 16 u 0 8.690972e+02
Yael 233 8.125325e+02 114.tif 107.tif 44 37 u 0 6.009013e+02
Yael 234 8.160324e+02 116.tif 014.tif 46 14 u 0 7.088337e+02
Yael 235 8.195324e+02 110.tif 112.tif 40 42 u 0 9.686776e+02
Yael 236 8.230322e+02 122.tif 018.tif 52 18 i 0 1.180571e+03
Yael 237 8.265322e+02 012.tif 104.tif 12 34 i 0 9.204508e+02
Yael 238 8.300321e+02 104.tif 018.tif 34 18 u 0 1.044343e+03
Yael 239 8.335321e+02 104.tif 002.tif 34 2 u 0 6.641819e+02
Yael 240 8.370319e+02 007.tif 010.tif 7 10 u 0 1.084122e+03
Yael 241 8.405319e+02 105.tif 029.tif 35 29 u 0 1.287853e+03
Yael 242 8.440318e+02 020.tif 119.tif 20 49 i 0 7.558518e+02
Yael 243 8.475318e+02 021.tif 005.tif 21 5 i 0 1.623603e+03
Yael 244 8.510315e+02 121.tif 109.tif 51 39 i 0 9.317065e+02
Yael 245 8.545316e+02 030.tif 027.tif 30 27 u 0 1.575412e+03
Yael 246 8.580315e+02 007.tif 004.tif 7 4 i 0 1.667323e+03
Yael 247 8.615314e+02 008.tif 025.tif 8 25 i 0 1.031292e+03
Yael 248 8.650313e+02 004.tif 001.tif 4 1 u 0 1.163106e+03
Yael 249 8.685312e+02 112.tif 118.tif 42 48 i 0 8.310092e+02
Yael 250 8.720311e+02 028.tif 117.tif 28 47 u 0 1.098974e+03
Yael 251 8.755312e+02 014.tif 108.tif 14 38 i 0 9.586607e+02
Yael 252 8.790310e+02 010.tif 027.tif 10 27 u 0 1.282555e+03
Yael 253 8.825310e+02 125.tif 002.tif 55 2 u 0 1.006399e+03
Yael 254 8.860309e+02 130.tif 028.tif 60 28 u 0 9.143715e+02
Yael 255 8.895309e+02 127.tif 013.tif 57 13 u 0 6.461967e+02
Yael 256 8.930307e+02 106.tif 104.tif 36 34 i 0 1.394108e+03
Yael 257 8.965307e+02 027.tif 029.tif 27 29 u 0 1.749883e+03
Yael 258 9.000306e+02 021.tif 115.tif 21 45 i 0 1.249859e+03
Yael 259 9.035306e+02 117.tif 013.tif 47 13 i 0 1.101680e+03
Yael 260 9.070304e+02 007.tif 129.tif 7 59 i 0 1.369615e+03
Yael 261 9.105304e+02 006.tif 105.tif 6 35 i 0 9.334527e+02
Yael 262 9.140302e+02 015.tif 123.tif 15 53 i 0 6.654563e+02
Yael 263 9.175303e+02 104.tif 119.tif 34 49 i 0 1.581161e+03
Yael 264 9.210301e+02 109.tif 020.tif 39 20 u 0 9.691294e+02
Yael 265 9.245301e+02 007.tif 130.tif 7 60 i 0 1.012896e+03
Yael 266 9.280300e+02 121.tif 020.tif 51 20 u 0 9.209006e+02
Yael 267 9.315300e+02 125.tif 012.tif 55 12 u 0 1.372684e+03
Yael 268 9.350298e+02 012.tif 123.tif 12 53 i 0 1.368615e+03
Yael 269 9.385298e+02 106.tif 119.tif 36 49 i 0 1.372440e+03
Yael 270 9.420297e+02 025.tif 129.tif 25 59 i 0 8.004203e+02
