subjid	scanner	order	block	runtrial	onsettime	ImageLeft	ImageRight	TypeLeft	TypeRight	IsLefthigh	Response	PairType	Outcome	RT	bidIndexLeft	bidIndexRight
BM2_149	0	2	1	1	0	Jollyrancherred.bmp	Hersheykisses.bmp	49	51	0	i	2	0	655.94	49.00	51.00	
BM2_149	0	2	1	2	10	FamousAmos_small.bmp	Hersheymilk_several.bmp	41	19	0	u	4	1	878.57	41.00	19.00	
BM2_149	0	2	1	3	13	Slimjim.bmp	TeddyGrahamschocolate.bmp	17	44	1	u	3	0	811.95	17.00	44.00	
BM2_149	0	2	1	4	16	PeanutMMs.bmp	PopTartsStrawberry.bmp	15	9	0	i	1	0	952.72	15.00	9.00	
BM2_149	0	2	1	5	20	BabyRuth.bmp	Funyuns_small.bmp	23	45	1	i	4	1	673.44	23.00	45.00	
BM2_149	0	2	1	6	24	Oreos.bmp	FamousAmos_small.bmp	16	41	1	u	4	0	768.08	16.00	41.00	
BM2_149	0	2	1	7	28	3Musketeers.bmp	Chocolate_mm.bmp	22	40	1	i	3	1	563.82	22.00	40.00	
BM2_149	0	2	1	8	32	Jollyranchergreen.bmp	KitKat_small.bmp	20	42	1	i	4	1	616.18	20.00	42.00	
BM2_149	0	2	1	9	38	BabyRuth.bmp	FamousAmos_small.bmp	23	41	1	i	4	1	681.51	23.00	41.00	
BM2_149	0	2	1	10	42	PeanutMMs.bmp	Granolabar.bmp	15	13	0	u	1	1	861.37	15.00	13.00	
BM2_149	0	2	1	11	45	Slimjim.bmp	Twix.bmp	17	39	1	u	3	0	578.77	17.00	39.00	
BM2_149	0	2	1	12	48	Lollipopred.bmp	Hersheykisses.bmp	46	51	0	i	2	0	751.58	46.00	51.00	
BM2_149	0	2	1	13	52	Jollyrancherred.bmp	CheesyDoritos.bmp	49	48	0	i	2	0	553.09	49.00	48.00	
BM2_149	0	2	1	14	61	Goldfish.bmp	PopTartsStrawberry.bmp	11	9	0	i	1	0	634.17	11.00	9.00	
BM2_149	0	2	1	15	68	3Musketeers.bmp	TeddyGrahamschocolate.bmp	22	44	1	i	3	1	929.81	22.00	44.00	
BM2_149	0	2	1	16	73	Cheetos.bmp	100grand_small.bmp	53	52	0	u	2	1	613.21	53.00	52.00	
BM2_149	0	2	1	17	77	AnimalCrackers.bmp	PopTartsStrawberry.bmp	8	9	0	i	1	0	1017.63	8.00	9.00	
BM2_149	0	2	1	18	80	SourSkittles.bmp	Granolabar.bmp	12	13	0	i	1	0	897.53	12.00	13.00	
BM2_149	0	2	1	19	84	AnimalCrackers.bmp	FigNewton_small.bmp	8	10	0	u	1	1	1017.73	8.00	10.00	
BM2_149	0	2	1	20	93	Streusel.bmp	Reeses.bmp	21	43	1	i	3	1	888.99	21.00	43.00	
BM2_149	0	2	1	21	98	RitzBitz2.bmp	Milkduds.bmp	50	47	0	u	2	1	1321.12	50.00	47.00	
BM2_149	0	2	1	22	101	RitzBitz2.bmp	100grand_small.bmp	50	52	0	u	2	1	920.35	50.00	52.00	
BM2_149	0	2	1	23	104	BabyRuth.bmp	Laffytaffyred_one.bmp	23	38	1	i	4	1	1213.17	23.00	38.00	
BM2_149	0	2	1	24	108	Granolabar.bmp	Goldfish.bmp	13	11	1	u	1	0	761.48	13.00	11.00	
BM2_149	0	2	1	25	111	Lollipopred.bmp	100grand_small.bmp	46	52	0	i	2	0	1257.42	46.00	52.00	
BM2_149	0	2	1	26	114	3Musketeers.bmp	Reeses.bmp	22	43	1	u	3	0	761.65	22.00	43.00	
BM2_149	0	2	1	27	123	Twix.bmp	3Musketeers.bmp	39	22	0	i	3	0	1154.01	39.00	22.00	
BM2_149	0	2	1	28	126	Jollyranchergreen.bmp	Laffytaffyred_one.bmp	20	38	1	i	4	1	782.72	20.00	38.00	
BM2_149	0	2	1	29	130	Lollipopred.bmp	Milkduds.bmp	46	47	0	i	2	0	928.97	46.00	47.00	
BM2_149	0	2	1	30	135	Cheetos.bmp	Milkduds.bmp	53	47	0	u	2	1	813.06	53.00	47.00	
BM2_149	0	2	1	31	148	FigNewton_small.bmp	Goldfish.bmp	10	11	1	u	1	0	711.71	10.00	11.00	
BM2_149	0	2	1	32	151	Slimjim.bmp	Chocolate_mm.bmp	17	40	1	u	3	0	708.41	17.00	40.00	
BM2_149	0	2	1	33	154	Hersheykisses.bmp	Cheetos.bmp	51	53	1	u	2	0	569.85	51.00	53.00	
BM2_149	0	2	1	34	160	Funyuns_small.bmp	Jollyranchergreen.bmp	45	20	0	u	4	1	633.30	45.00	20.00	
BM2_149	0	2	1	35	164	Cheetos.bmp	CheesyDoritos.bmp	53	48	0	u	2	1	711.06	53.00	48.00	
BM2_149	0	2	1	36	168	Hersheymilk_several.bmp	Funyuns_small.bmp	19	45	1	i	4	1	643.43	19.00	45.00	
BM2_149	0	2	1	37	171	Jollyrancherred.bmp	Milkduds.bmp	49	47	0	i	2	0	640.19	49.00	47.00	
BM2_149	0	2	1	38	177	Sourpatch.bmp	SourSkittles.bmp	14	12	1	u	1	0	961.52	14.00	12.00	
BM2_149	0	2	1	39	181	Reeses.bmp	Doritosranch.bmp	43	18	0	i	3	0	613.44	43.00	18.00	
BM2_149	0	2	1	40	187	CheesyDoritos.bmp	RitzBitz2.bmp	48	50	1	i	2	1	1135.64	48.00	50.00	
BM2_149	0	2	1	41	192	Granolabar.bmp	AnimalCrackers.bmp	13	8	1	u	1	0	1289.46	13.00	8.00	
BM2_149	0	2	1	42	202	Chocolate_mm.bmp	Doritosranch.bmp	40	18	0	i	3	0	688.07	40.00	18.00	
BM2_149	0	2	1	43	212	Jollyranchergreen.bmp	FamousAmos_small.bmp	20	41	1	i	4	1	749.34	20.00	41.00	
